time,hash,recipient,sender,amount
2023-02-13T11:19:31Z,13024C071902B8DC4E6E9736030FEF39911DB7D538B97EA8C4272B0A37B0DCDD,kujira1pkmjc7p7lqg6m3nm7csde88pnpad945kla5hyu,kujira1ackqp55ygdmvx2armyl9x9k6d6pdrcj98l8u5u,57663375factory/kujira1qk00h5atutpsv900x202pxx42npjr9thg58dnqpa72f2p7m2luase444a7/uusk
2023-02-07T23:10:29Z,314083C6C42082D5E4C48F5AF2073FF008BBA6C99CA8F937243D4F334A00040C,kujira17xpfvakm2amg962yls6f84z3kell8c5lp3pcxh,kujira1v8kh6mqxq7awcvl936xeyzv8fnmdkd3yxggvkyek5d0ecut4a6zs0larj2,86625factory/kujira1qk00h5atutpsv900x202pxx42npjr9thg58dnqpa72f2p7m2luase444a7/uusk
2023-02-07T23:10:10Z,9A76BB3026538B0EF4E9F648B64674B69CCE89DB8539196B19B8BB91BE46B25D,kujira1ackqp55ygdmvx2armyl9x9k6d6pdrcj98l8u5u,kujira1v8kh6mqxq7awcvl936xeyzv8fnmdkd3yxggvkyek5d0ecut4a6zs0larj2,140000000ibc/DBF6ABDB5F3D4267C039967515594453F4A31007FD838A566F563A01D2C2FB80
2023-02-03T21:52:53Z,26D5C581B9AA93FA242DD17F797A037768C72A419C02892A4CE2D670F6D8EC61,kujira1v8kh6mqxq7awcvl936xeyzv8fnmdkd3yxggvkyek5d0ecut4a6zs0larj2,kujira1ackqp55ygdmvx2armyl9x9k6d6pdrcj98l8u5u,140000000ibc/DBF6ABDB5F3D4267C039967515594453F4A31007FD838A566F563A01D2C2FB80
2023-02-03T21:51:29Z,A70097AB717E24D9A97C471F41EFFD23CE5B332E45AB78373B1B539EAECE11F5,kujira1ackqp55ygdmvx2armyl9x9k6d6pdrcj98l8u5u,kujira1yl6hdjhmkf37639730gffanpzndzdpmhlh536f,140000000ibc/DBF6ABDB5F3D4267C039967515594453F4A31007FD838A566F563A01D2C2FB80
2022-07-12T17:45:33Z,B6AA1AD9BAB1AC75746E31F8B98727F26B63878CAD488F05EC2878F71464A503,kujira1pkmjc7p7lqg6m3nm7csde88pnpad945kla5hyu,kujira1ackqp55ygdmvx2armyl9x9k6d6pdrcj98l8u5u,1090000000ukuji
2022-07-05T08:38:42Z,AB625BC1C583B2F0D59E5DE800D7516F0CEB4F826F6790C29CFB646B690ACEC5,kujira1ackqp55ygdmvx2armyl9x9k6d6pdrcj98l8u5u,kujira12j6p3tausehd7495as98vql74p0f9t2aql93lx,1096134568ukuji
