,address,id
77,cosmos1tc0ahyux0ku550w9kaqlvzs7wgdxrkzkrnrkzu,1
78,cosmos1tru7lqggu6u6jxfy0e73l9lph0cpr068kue26q,1
79,cosmos1ttq2wyyxfz6phc5nvmq3ys2h2u6mk65e8p6swl,1
80,cosmos1vl8xm7x04cedgh639hc9ucvf6zc754fyfewhef,2
81,cosmos1vqe9qvxcu0nvyefeayl0kqfftha0wdk6l0t0af,1
82,cosmos1vyfhx2ju5f5km5nj4pwlqtyq3nkujc5xmkp2wc,1
83,cosmos1w5mtmtuey5a3f59d9m0xh2quh90ze2vjj06rn2,28
84,cosmos1w8w98nlwtc052empwesvhg7rru03ax9yysaw8x,1
85,cosmos1w954kuymx4gtu06w7rclef48xcx99cu89aqs0v,1
86,cosmos1w9878phvueffxcgj6emxag6807lcc3g2cdxx56,1
87,cosmos1wgu08nqwqlh6hf9kyce5vxpvtdmpnje5lkf3ag,1
88,cosmos1wxvcexypw28u0u5vwplr0pxvvmftgveqs6cdf2,1
89,cosmos1x9vzakqf0l3yjgu0xphnuwjpw6kpu5tp433c36,1
90,cosmos1xea30gyjtgm4s3dze70pncx7cnfwasrwkvlg35,1
91,cosmos1xvd69rk254ewhq2ygpxuc484hkvfeep8s4ys3a,1
92,cosmos1ydaf0zpxtus3qz3nnkfwuhyw3hpm4l4txwtnfe,1
93,cosmos1yfz0s4kdmflya5vx8khv6y2d26a4ydfrxh892w,1
94,cosmos1z67emd2rc2n3zk3jsrtzqk3l7dyuuq8fjsg4y6,1
95,cosmos1z83jjcq5x26l77xstx5fev0ng5mxf837gffu4d,1
96,cosmos1zmqxte6mfvu0j0t3f5q9le29lz2ej92pp6sl5a,1
