address,xASTRO,ASTRO,total_astro
terra1xvjfks69wa3wwztcfur7ad05gt3cm6epx64zg0,662.513011,0.0,662.513011
terra1zl5umz0wqpr4m670gyf9jm7nytk25sh74cdpnp,0.0,1.619291,1.619291
terra14ww79dld9gxuy6kxwd8gv9q4d7hm6u5zg09qrn,0.0,52.151834,52.151834
terra1ha49wqzs6ua0a2hpmzav2ayfc0e3sfnxlltynr,2000.954977,0.0,2000.954977
terra1glyctstef76m7p5hhj9tc0yqeum2tmagmzvv8c,0.0,0.0,0.0
terra1skk3cy0eq6fgls7wu8n7yvsl4q23qazv3a48vq,3187.998304,0.0,3187.998304
terra14a9mh9xh8w59ad47s7xayx5pfdp9c9r94yf3tv,0.0,0.0,0.0
terra1mcfskydrvpaccazqw9h2ves3enlmmgdk8tzv3l9sta4q73dh7dls36jlnu,0.016802,0.0,0.016802
terra1awhw0mpsqjdkmaujg43t40q6d0p8nnq745g4nj,0.0,0.0,0.0
terra1jdk06sd6z0s233j2vs7r99p9h856asw98j53rq,1085.171122,0.0,1085.171122
terra10zrnc9wfxju0gcrwxaw9zytjunrenexxrxh29w,0.0,15.895451,15.895451
terra1997dswkl2t3tpmqxhat52cyyz9ssw8pamgq4mr,0.0,0.0,0.0
terra1pjfl03a5dlj072nmzax6hd4r94e33tskldtkaj,29.637456,32.502511,62.139967
terra1ymmwa5c7xzx5ak20ynwdahlzh29zqvw4k678c8,0.0,0.0,0.0
terra1rx5s7kd66t2ufa5svml8ed755hvne38xckr7zy,61.768511,0.0,61.768511
terra1a0u089chxd630ru82ctwg2nh0px2dlt6snapx8,19.607385,74.176632,93.784017
terra1gthnsjl9jv3y0tpa0mvfmsdndq3pxmqpa7se3z,8.398428,0.0,8.398428
terra13snpp4gqsxue0rptsvhpw7r4stjjtg3w6rkt2p,0.0,94.785942,94.785942
terra1q6pppg7tn4lnfthmq2y4a5dkcyu3pwx0d8cusx,14.49167,0.0,14.49167
terra1a9lt8xny535e3zpyzt6etcedqzm5a32eyclszk,0.0,0.0,0.0
terra1tdet8jcdfzx4au237aqmpr9vmz7hd3yumvp8se,0.0,0.0,0.0
terra1x8wqyvftsfxj4vlnfahyvtxl0ktv4x4xl49ctf,0.0,0.0,0.0
terra146vcggu4zfu9nlmgc6057l8mykj3yk6pmryg4j,3.447947,0.0,3.447947
terra1athnapahumts4u9gq3x5hn7tjyp767m5fmsf35,83.880472,0.0,83.880472
terra1l4mpnxhvrca26ge5mt4le7uh8yvcknv4ar42lq,0.0,0.069365,0.069365
terra1uley62sfg79vv0r3x0up525rydr93yv6u6z6et,130.055692,0.0,130.055692
terra1j9eg3utwfwfkdt8nfnk045pmaqd6pryk39p6g2,0.0,0.0,0.0
terra1kmuszzur7x8kykg496my7lc2ckkg8c6vfj7z9p,428.112423,0.0,428.112423
terra1c56cscuhclgkz5zjcn4jgexd88auh2m26nqhfu,0.0,0.123477,0.123477
terra18m7qpxp5z8f6pg2zs86nyanxmtwdpp92l47gk8,199.585172,136.210064,335.795236
terra10cj5gkzuka5zwhavecu7gn0vycvtv4x8naaae9,0.0,0.0,0.0
terra1wl6nx5w608yxy4vmts2xq2khunyvj4uwxvemr4,4655.251791,0.0,4655.251791
terra1rmc622tcyfla28p0n3yjjwk7m09mkat9y2m0fu,0.0,0.0,0.0
terra1zccv5exj8sr86u3jhqvyhcchpyhckvk6h3plnw,29.989676,35.957709,65.947385
terra1a8jxv0xmtawslykss6qjpjpu3zsrwdpa3jpns3,250.279291,0.0,250.279291
terra1zpsptgnd0rrnhwe8vrz25uptvd3338g6f86mn9,0.0,0.0,0.0
terra1mweqvg3n3nk043j3p2yk2hxl0zm8e9dhkcz337,117.956947,0.0,117.956947
terra15d4dun00sa7tv2q6sys6zyhw29hq796z86mlfu,1454.743931,0.0,1454.743931
terra1rc6vh28rw8ptwykkugul5dsz9jjdfrz58agqlw,11198.523317,5507.400769,16705.924086
terra1nvqtv48m7na50uvnuute0mqyhzupj0jv870wju,5774.730483,0.0,5774.730483
terra1juavpfk7j93zzey4skyqqpsnwpa5jhyg9rdytc,191454.144701,0.0,191454.144701
terra12agmjfvadtyg0ak3ravwu24apyraglz36fqp2k,497.216825,0.0,497.216825
terra1az87wa6jr479vwxcm5xcn46e4lmazczeruueda,998.207609,0.003244,998.210853
terra19afgrt5c5xxphcx08p7qnvc4v764n07w46vwt7,10196.289717,1602.994007,11799.283723999999
terra1f7yy5cj8shxt534haxunwuhq245f3jalnmcd67,0.0,0.0,0.0
terra14jjcxq6sepak8a3nf3fsw6l6d6qzunmjw36qcn,100.096403,0.0,100.096403
terra1zhhcjl2528nfh776rmvugx434r3enf4trnzrm5,21356.825184,0.0,21356.825184
terra1menzgmmv5yp5zxgxgleffx62606xhkh5v8ankc,99.574261,84.113301,183.687562
terra1wm5hhlznqh2c060weusnj64vuly7nxt475w3p5,791.15654,0.0,791.15654
terra1e5p03lmzlmcfqyct6vyy3ekveec7wlwrg3tvmv,3816.231946,0.0,3816.231946
terra1zmtxussh926stpdzsch837fpy2ca0yygzaftt5,79213.367002,0.0,79213.367002
terra1zwh8qhru2yvqqtl6qg8wh5nr4nx3dkh4kj2dns,2271.35241,0.0,2271.35241
terra1e3h0mdjvc9wsc72pnn3q73pjt70e39t5x5nuzu,359.27044,0.0,359.27044
terra1zrcmjmwfwdp4e8leasjavlhyaj5rrn86lcjqeg,0.0,17073.843237,17073.843237
terra10p2n7hgt6gd7wg6974far3r5u5pfasp4rzfa3g,377.64612,1e-05,377.64612999999997
terra10xa09awnlkghvktjy4aumm5qf09lhrmgdczja9,0.0,0.0,0.0
terra1a2xr5yk0vsdqcmep55rp3w00hxm452zja84z02,1714.131702,0.0,1714.131702
terra1xwfv6s7gdf7thwjs35tsts6kdpv6q25jy5fwt2,83.691116,0.0,83.691116
terra1yzx4u3d4qtl0v9fynxlut0k098etpude20dw8y,0.0,0.0,0.0
terra19w58j8cw3qyvvsj0k375v6awcf8sc4wucjmqk6,158.439703,0.0,158.439703
terra135ekxltawp69gtftjfngvvr6anru36l4yv38v0,0.0,0.0,0.0
terra1dagz2mwtj7x7m68mmc7mkx2ezkxmucalsvt8p9,247.669906,0.0,247.669906
terra16gkrfe3z74z72v3k29c5hwxz60cw8e00qj5dkh,971.769703,0.0,971.769703
terra10sxxa5vw34geymnqmyjmwugnsc6wput8c8p5zl,394043.593738,0.0,394043.593738
terra199ychwnvdfklmyjqhyccvhl26ch93h4llvvmd8,12622.839741,0.0,12622.839741
terra1dwv0c7ejtljjk09kda4azrypyaaudc5pkywca8,34493.920131,0.0,34493.920131
terra19tu3e4s7dv3gx38grvcjh5lrykuwmskwk9e59m,0.0,0.000623,0.000623
terra1xctfng0j34uwhsgunfjatcuwwkny50rjfsqsxq,0.0,0.0,0.0
terra1uevlsxpxzy8dfegnaghgq4ltlqsyd2078nu5mx,524.826755,0.0,524.826755
terra1y9ma5e9td5pgkdhpq5t4m7ka9pxg9u0tvns9qd,0.0,112705.86428,112705.86428
terra14v2geaamrq4m6r9jmqp4h056jdcl6wul2ggauv,0.0,0.0,0.0
terra1pqtg0edt6dcdl3j6aeu53vh04y6zp8cq6r8g0w,765.919727,0.0,765.919727
terra1y3qx2mut32h465n4j2a0ed5d5r3rl75l2y7kug,2078.648597,1194.258133,3272.9067299999997
terra1gv3vq3xm8came977s8pccw56cx3jefzfp5v76p,473.819293,12.656195,486.47548800000004
terra1h2u6ah0e85xgpvzx0uyhms4jqs3e2t8ljq54d2,7417.24917,119.942746,7537.191916
terra1akrzcfkf9r4vljw3eex30eu67jujmxgy9hvawa,284.540959,0.066203,284.60716199999996
terra1efkaf3mp2k2d7747jn9y8lfdjtcyku7jcdlrkt,0.0,0.0,0.0
terra17zy8p7dnrcuad0f2chmrnfqxwce7duu2t7l3ae,0.0,0.0,0.0
terra1wull3k7nkd5mz2f633q4nx94pvxha39lqjllnp,3108.501803,0.0,3108.501803
terra1lyjunq8gq8jk3na0af609sugv8p3g3l39kae3p,13.063693,0.0,13.063693
terra1ywrry52kdhtclacq9pjd0hnpnr04vgyvc4k5fy,0.0,0.0,0.0
terra1yguh7dmeh5nw7cek6sljktwkscdgx9het0y6e0,5129.194893,0.0,5129.194893
terra14uakay9u8r28td5ms2mdrncrreunmnfsqfns3v,0.0,0.0,0.0
terra1ytwgmaq48tuasrpnj3uwnku6rs0heyj7ph8a3j,10170.019553,79.649414,10249.668967
terra16ev69dd3e36k2l0npxrp77d47e69vt8xyph9ee,0.0,845.137842,845.137842
terra1r67wsz5y7d62fhlm5cam8pd6klmg6dzh0pkl4w,739.035468,0.0,739.035468
terra1sw9kqvfr54rtkd4rglhd9l7mndcvx6pn357w7y,0.0,0.023359,0.023359
terra1h76r48s4a7578qs99g2ekw2350h86gxj5rpul6,1.002165,0.0,1.002165
terra145fy29k3me8lk0uar967402njm5s7c55ehmp83,12023.248672,0.0,12023.248672
terra1ej3k2zlwarpy002kjxe8gkrv4ca3wvnldktdqu,0.0,0.0,0.0
terra12jcny82x63qjxxgrcqe30f6c2t9pwya4xfs4t8,286.325567,0.0,286.325567
terra1rvd7edl9dvvnf32n3d96q8pnxya5w428k94ynd,12526.209741,0.0,12526.209741
